/* DATA DESCRIPTION:
Citation:	Anderson, Harris J; Pedro, Joel B; Bostock, Helen C; Chase, Zanna; Noble, Taryn L (2020): Recalibrated age model and sea surface temperatures from alkenone measurements of sediment core MD97-2120 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.912128, 
	In: Anderson, HJ et al. (2020): 14 Southern Ocean Sea Surface Temperature records recalibrated to MARINE20 and tied to the AICC2012 Timescale, Southern Ocean Sea Surface Temperature Anomaly Stacks [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.912146
Keyword(s):	AIM; Compilation; Marine Isotope Stage 3; MIS-3; Sea surface temperature; SST; SST Stack; Stack
Related to:	Anderson, Harris J; Pedro, Joel B; Bostock, Helen C; Chase, Zanna; Noble, Taryn L (2021): Compiled Southern Ocean sea surface temperatures correlate with Antarctic Isotope Maxima. Quaternary Science Reviews, 255, 106821, https://doi.org/10.1016/j.quascirev.2021.106821
Further details:	Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, Bénédicte; Nouet, Julius; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfús Jóhann; Leuenberger, Markus Christian; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enricomaria; Souchez, Roland A; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric William (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
	Pahnke, Katharina; Zahn, Rainer; Elderfield, Henry; Schulz, Michael (2003): 340,000-Year Centennial-Scale Marine Record of Southern Hemisphere. Science, 301(5635), 948-952, https://doi.org/10.1126/science.1084451
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Coverage:	LATITUDE: -45.534333 * LONGITUDE: 174.930833
	DATE/TIME START: 1997-05-20T11:11:00 * DATE/TIME END: 1997-05-20T11:11:00
	MINIMUM DEPTH, sediment/rock: 0.230 m * MAXIMUM DEPTH, sediment/rock: 19.290 m
Event(s):	MD97-2120 (MD972120) * LATITUDE: -45.534333 * LONGITUDE: 174.930833 * DATE/TIME: 1997-05-20T11:11:00 * ELEVATION: -1210.0 m * Recovery: 36.4 m * LOCATION: Chatham Rise * CAMPAIGN: MD106 (IMAGES III - IPHIS) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=97200010) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au)
	Age model [ka] (Age model) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * COMMENT: original age model
	Age model [ka] (Age model) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AICC2012-Tuned Age Model
	Standard error [±] (Std e) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AICC2012-tuned error
	Age model [ka] (Age model) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic Isotope Maxima (AIM) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AIM-tuned age model
	Standard error [±] (Std e) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic Isotope Maxima (AIM) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AIM-tuned error
	Sea surface temperature [°C] (SST) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: SST calculated from alkenones
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	3240 data points
*/
Depth sed [m]	Age model [ka] (original age model)	Age model [ka] (AICC2012-Tuned Age Model, Ant...)	Std e [±] (AICC2012-tuned error, Antarct...)	Age model [ka] (AIM-tuned age model, Antarcti...)	Std e [±] (AIM-tuned error, Antarctic Is...)	SST [°C] (SST calculated from alkenones)
2.670	15.26	14.98	2.20	14.98	2.21	11.88
2.690	15.39	15.03	2.20	15.03	2.20	12.34
2.710	15.52	15.08	2.19	15.08	2.19	11.87
2.730	15.65	15.13	2.19	15.13	2.19	11.89
2.750	15.78	15.17	2.18	15.17	2.18	12.05
2.780	15.98	15.24	2.17	15.25	2.17	11.78
2.790	16.05	15.27	2.17	15.27	2.16	11.74
2.810	16.18	15.31	2.15	15.32	2.15	11.88
2.830	16.31	15.36	2.14	15.36	2.13	11.92
2.850	16.43	15.41	2.11	15.41	2.11	11.52
2.870	16.54	15.46	2.08	15.46	2.07	11.57
2.890	16.64	15.51	2.04	15.51	2.03	11.41
2.910	16.74	15.56	2.00	15.56	1.99	11.53
2.930	16.85	15.61	1.96	15.61	1.96	11.31
2.950	16.95	15.67	1.94	15.67	1.94	11.11
2.970	17.06	15.72	1.91	15.72	1.91	11.40
2.990	17.16	15.77	1.90	15.77	1.90	11.32
3.030	17.37	15.92	1.85	15.92	1.84	10.76
3.050	17.48	16.03	1.79	16.02	1.78	10.77
3.070	17.58	16.13	1.74	16.12	1.74	10.86
3.090	17.68	16.23	1.71	16.23	1.71	10.92
3.110	17.79	16.34	1.69	16.33	1.68	10.83
3.130	17.89	16.44	1.67	16.43	1.66	10.96
3.150	18.00	16.55	1.66	16.54	1.64	11.00
3.170	18.10	16.65	1.65	16.64	1.63	11.08
3.190	18.21	16.75	1.64	16.75	1.62	10.95
3.230	18.42	16.96	1.62	16.95	1.61	10.71
3.250	18.52	17.06	1.62	17.06	1.62	10.62
3.270	18.62	17.17	1.62	17.16	1.62	10.65
3.290	18.73	17.27	1.61	17.27	1.63	10.30
3.310	18.83	17.38	1.61	17.37	1.64	10.96
3.330	18.94	17.48	1.63	17.48	1.66	10.08
3.350	19.04	17.59	1.65	17.59	1.69	10.76
3.370	19.15	17.69	1.69	17.69	1.73	10.01
3.390	19.25	17.80	1.74	17.80	1.77	10.60
3.410	19.36	17.90	1.80	17.90	1.83	10.25
3.430	19.46	17.99	1.82	18.00	1.86	10.66
3.450	19.56	18.07	1.82	18.08	1.86	10.56
3.490	19.77	18.17	1.76	18.18	1.80	10.51
3.510	19.88	18.20	1.72	18.20	1.75	10.65
3.530	19.98	18.22	1.67	18.22	1.70	10.72
3.550	20.09	18.24	1.62	18.24	1.65	10.41
3.570	20.19	18.26	1.57	18.26	1.59	10.93
3.630	20.50	18.32	1.39	18.32	1.42	11.17
3.650	20.61	18.34	1.33	18.34	1.35	11.06
3.670	20.71	18.35	1.26	18.36	1.28	11.81
3.690	20.82	18.37	1.19	18.37	1.21	11.62
3.710	20.92	18.39	1.13	18.39	1.15	11.03
3.730	21.03	18.41	1.06	18.41	1.09	11.09
3.750	21.13	18.43	1.01	18.43	1.04	10.91
3.770	21.24	18.45	0.95	18.45	0.98	11.36
3.790	21.34	18.47	0.90	18.47	0.93	11.20
3.810	21.44	18.49	0.86	18.49	0.88	11.01
3.830	21.55	18.51	0.81	18.51	0.84	10.73
3.850	21.65	18.53	0.78	18.53	0.80	10.72
3.870	21.76	18.55	0.76	18.55	0.77	10.55
3.890	21.86	18.57	0.74	18.57	0.74	11.04
3.910	21.97	18.59	0.73	18.60	0.74	10.60
3.930	22.07	18.61	0.76	18.62	0.75	10.64
3.950	22.18	18.63	0.87	18.63	0.83	10.65
3.970	22.28	18.65	1.06	18.65	1.00	10.58
3.990	22.38	18.66	1.24	18.66	1.18	10.66
4.010	22.49	18.67	1.43	18.67	1.36	11.33
4.030	22.59	18.68	1.63	18.68	1.54	10.54
4.050	22.70	18.70	1.83	18.70	1.71	10.47
4.070	22.80	18.71	2.03	18.71	1.91	10.71
4.090	22.91	18.72	2.23	18.72	2.10	10.71
4.110	23.01	18.73	2.43	18.73	2.29	10.35
4.130	23.12	18.75	2.62	18.74	2.49	10.59
4.150	23.22	18.76	2.82	18.75	2.69	10.69
4.170	23.32	18.77	3.02	18.77	2.88	10.47
4.190	23.43	18.78	3.23	18.78	3.08	10.45
4.210	23.53	18.79	3.43	18.79	3.27	10.09
4.230	23.64	18.80	3.63	18.80	3.45	9.95
4.250	23.74	18.81	3.82	18.81	3.64	9.90
4.270	23.85	18.83	3.99	18.82	3.80	9.94
4.290	23.95	18.84	4.17	18.83	3.97	9.71
4.310	24.06	18.85	4.33	18.85	4.12	9.55
4.330	24.16	18.87	4.48	18.86	4.30	9.90
4.350	24.26	18.88	4.63	18.87	4.45	9.87
4.370	24.37	18.89	4.78	18.88	4.62	10.09
4.410	24.58	18.92	5.08	18.91	4.92	10.08
4.430	24.68	18.93	5.23	18.93	5.08	10.79
4.450	24.79	18.95	5.39	18.94	5.25	11.05
4.470	24.89	19.11	5.45	19.10	5.32	11.47
4.490	25.00	19.72	5.15	19.68	5.07	10.23
4.530	25.23	20.93	4.76	20.86	4.79	10.45
4.550	25.33	21.54	4.58	21.44	4.66	11.18
4.570	25.44	22.14	4.41	22.03	4.54	10.83
4.590	25.54	22.73	4.23	22.61	4.41	10.54
4.610	25.65	23.31	3.97	23.20	4.25	11.16
4.630	25.75	23.89	3.49	23.79	4.08	10.94
4.650	25.86	24.47	2.75	24.38	3.85	11.37
4.670	25.96	25.05	1.89	24.98	3.62	11.67
4.690	26.07	25.62	1.09	25.58	3.36	11.34
4.710	26.17	26.17	0.41	26.14	3.25	11.43
4.730	26.26	26.29	0.21	26.34	3.41	12.78
4.750	26.35	26.41	0.35	26.51	3.61	11.59
4.790	26.53	26.64	0.65	26.86	3.85	10.68
4.830	26.71	26.88	0.97	27.19	3.71	11.41
4.850	26.80	27.00	1.12	27.32	3.55	10.90
4.870	26.89	27.11	1.25	27.43	3.40	10.74
4.890	26.98	27.23	1.35	27.55	3.25	10.26
4.910	27.07	27.35	1.43	27.66	3.10	11.34
4.930	27.16	27.47	1.49	27.77	2.97	11.42
4.950	27.25	27.59	1.53	27.87	2.87	11.09
4.970	27.34	27.70	1.55	27.97	2.80	11.11
4.990	27.44	27.82	1.57	28.06	2.75	10.94
5.010	27.53	27.94	1.59	28.15	2.70	11.17
5.030	27.62	28.05	1.59	28.23	2.66	11.38
5.050	27.71	28.17	1.57	28.33	2.62	11.20
5.070	27.80	28.29	1.53	28.43	2.60	11.40
5.090	27.89	28.41	1.48	28.52	2.59	11.09
5.110	27.98	28.52	1.42	28.62	2.58	11.95
5.130	28.07	28.64	1.35	28.72	2.60	12.16
5.150	28.16	28.76	1.26	28.82	2.68	11.79
5.170	28.25	28.88	1.20	28.91	2.69	12.17
5.190	28.34	29.00	1.14	29.02	2.45	11.94
5.210	28.43	29.12	1.06	29.12	2.10	11.13
5.230	28.52	29.24	1.02	29.23	1.72	11.45
5.250	28.61	29.37	1.02	29.37	1.49	11.32
5.270	28.72	29.50	1.02	29.48	1.48	11.47
5.290	28.83	29.64	1.07	29.58	1.45	11.29
5.310	28.94	29.77	1.15	29.68	1.47	10.59
5.330	29.04	29.90	1.25	29.79	1.54	10.02
5.350	29.15	30.02	1.34	29.89	1.62	11.12
5.370	29.26	30.15	1.46	29.98	1.70	10.95
5.390	29.37	30.27	1.53	30.08	1.80	10.86
5.410	29.48	30.39	1.62	30.18	1.87	10.52
5.430	29.59	30.52	1.67	30.28	1.93	11.13
5.450	29.69	30.64	1.72	30.37	2.00	10.57
5.470	29.80	30.76	1.75	30.47	2.07	10.99
5.490	29.91	30.88	1.77	30.56	2.12	11.23
5.510	30.02	31.00	1.79	30.66	2.18	11.41
5.530	30.13	31.12	1.79	30.76	2.23	10.88
5.550	30.24	31.24	1.77	30.86	2.29	11.39
5.570	30.34	31.36	1.75	30.97	2.35	10.07
5.590	30.45	31.49	1.72	31.08	2.41	10.78
5.610	30.56	31.62	1.67	31.19	2.48	10.82
5.630	30.67	31.74	1.61	31.30	2.55	10.81
5.650	30.78	31.88	1.56	31.41	2.63	10.93
5.670	30.89	32.01	1.54	31.52	2.70	10.96
5.690	30.99	32.14	1.52	31.62	2.80	10.81
5.710	31.10	32.28	1.53	31.73	2.90	10.94
5.730	31.21	32.41	1.56	31.84	3.01	11.16
5.750	31.33	32.52	1.54	31.98	3.25	11.18
5.770	31.44	32.63	1.54	32.08	3.67	10.97
5.790	31.56	32.73	1.57	32.18	3.94	11.64
5.810	31.67	32.84	1.61	32.29	3.83	11.08
5.830	31.79	32.94	1.70	32.42	3.62	11.19
5.850	31.91	33.04	1.79	32.55	3.47	10.29
5.870	32.02	33.15	1.89	32.69	3.38	11.41
5.890	32.14	33.25	2.01	32.81	3.34	10.21
5.910	32.25	33.34	2.13	32.94	3.32	10.57
5.930	32.37	33.44	2.20	33.07	3.32	10.64
5.950	32.49	33.53	2.31	33.20	3.35	10.65
5.970	32.60	33.62	2.42	33.34	3.44	10.73
5.990	32.72	33.71	2.54	33.48	3.52	10.85
6.050	33.07	33.97	2.95	33.84	3.32	10.31
6.070	33.18	34.06	3.07	33.94	3.13	10.02
6.090	33.30	34.15	3.17	34.05	2.99	10.20
6.110	33.41	34.24	3.30	34.16	2.86	10.05
6.130	33.53	34.33	3.40	34.27	2.73	10.31
6.150	33.65	34.43	3.49	34.37	2.65	10.07
6.170	33.76	34.53	3.58	34.47	2.55	10.82
6.190	33.88	34.62	3.66	34.56	2.45	10.20
6.210	33.99	34.72	3.73	34.66	2.34	10.23
6.230	34.11	34.82	3.84	34.76	2.21	10.40
6.250	34.23	34.92	3.95	34.86	2.10	10.39
6.270	34.34	35.02	4.05	34.97	2.01	10.58
6.290	34.46	35.13	4.16	35.09	1.95	9.87
6.310	34.57	35.23	4.30	35.20	1.95	10.15
6.330	34.69	35.34	4.42	35.32	1.97	9.86
6.350	34.90	35.56	4.43	35.53	1.88	10.10
6.370	35.11	35.78	4.46	35.74	1.90	10.18
6.390	35.33	36.00	4.50	35.95	2.02	10.00
6.410	35.54	36.23	4.54	36.14	2.23	10.13
6.430	35.75	36.45	4.60	36.34	2.42	9.85
6.450	35.96	36.67	4.68	36.52	2.54	10.35
6.470	36.17	36.89	4.75	36.70	2.65	10.68
6.490	36.39	37.10	4.85	36.89	2.75	9.82
6.510	36.60	37.32	4.97	37.10	2.86	10.74
6.530	36.81	37.54	5.12	37.31	2.99	10.18
6.550	37.02	37.76	5.22	37.52	3.14	10.05
6.570	37.23	37.98	5.42	37.73	3.33	10.49
6.590	37.45	38.20	5.60	37.93	3.55	11.02
6.610	37.66	38.42	5.83	38.14	3.67	11.39
6.630	37.87	38.64	5.98	38.34	3.60	10.45
6.650	38.11	38.86	6.18	38.55	3.45	10.40
6.670	38.32	39.07	6.36	38.76	3.39	10.64
6.690	38.53	39.29	6.57	38.94	3.34	10.93
6.710	38.74	39.50	6.77	39.12	3.32	11.20
6.730	38.96	39.72	6.96	39.30	3.34	10.98
6.750	39.17	39.94	7.18	39.48	3.43	10.22
6.770	39.38	40.16	7.42	39.65	3.59	9.88
6.790	39.59	40.37	7.63	39.84	3.66	10.62
6.810	39.80	40.59	7.84	40.08	3.50	10.60
6.830	40.02	40.80	8.02	40.35	3.37	10.12
6.850	40.20	41.02	8.22	40.62	3.36	10.11
6.870	40.37	41.24	8.33	40.91	3.50	9.86
6.890	40.55	41.46	8.51	41.16	3.62	10.17
6.910	40.73	41.67	8.69	41.41	3.42	10.02
6.930	40.91	41.89	8.78	41.63	3.10	10.00
6.950	41.09	42.11	8.96	41.86	2.83	9.84
6.970	41.26	42.33	9.09	42.08	2.59	10.21
6.990	41.44	42.54	9.20	42.29	2.37	11.33
7.010	41.62	42.76	9.29	42.53	2.21	10.99
7.030	41.80	42.98	9.40	42.77	2.21	11.14
7.050	41.98	43.20	9.48	43.00	2.26	11.43
7.070	42.16	43.41	9.56	43.20	2.21	10.84
