/* DATA DESCRIPTION:
Citation:	Haddam, Naoufel; Siani, Giuseppe; Michel, Elisabeth; Kaiser, Jérôme; Lamy, Frank; Duchamp-Alphonse, Stéphanie; Hefter, Jens; Braconnot, Pascale; Dewilde, Fabien; Isguder, Gulay; Tisnérat-Laborde, Nadine; Thil, François; Durand, Nicolas; Kissel, Catherine (2020): SST reconstruction of sediment core MD07-3088 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.918121, 
	In: Haddam, N et al. (2020): Sea surface temperatures and planktonic foraminifera d18O from the chilean margin [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.918122
Keyword(s):	chilean margin; planktonic foraminifera d18O; Sea surface temperatures during the last 22 kyrs
Coverage:	LATITUDE: -46.071667 * LONGITUDE: -75.687167
	DATE/TIME START: 2007-02-11T18:32:00 * DATE/TIME END: 2007-02-11T18:32:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 18.74 m
Event(s):	MD07-3088 * LATITUDE: -46.071667 * LONGITUDE: -75.687167 * DATE/TIME: 2007-02-11T18:32:00 * ELEVATION: -1536.0 m * Recovery: 18.91 m * CAMPAIGN: MD159 (IMAGES XV - Pachiderme) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer II (CALYPSO2)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Haddam, Naoufel (naoh_000@hotmail.com)
	AGE [ka BP] (Age) * GEOCODE * PI: Haddam, Naoufel (naoh_000@hotmail.com)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Haddam, Naoufel (naoh_000@hotmail.com) * METHOD/DEVICE: Calculated from UK'37 (Prahl et al., 1988) (URI: https://doi.org/10.1016/0016-7037(88)90132-9)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Haddam, Naoufel (naoh_000@hotmail.com) * METHOD/DEVICE: Calculated from UK'37 (Müller et al, 1998) (URI: https://doi.org/10.1016/S0016-7037(98)00097-0)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	482 data points
*/
Depth sed [m]	Age [ka BP]	SST (1-12) [°C] (Calculated from UK'37 (Prahl ...)	SST (1-12) [°C] (Calculated from UK'37 (Müller...)
3.55	5.7940	12.8	13.1
3.60	5.8280	13.2	13.5
3.65	5.9250	13.8	14.0
3.70	5.9760	13.3	13.6
3.75	6.0320	13.2	13.5
3.80	6.1040	13.6	13.8
3.85	6.1780	12.7	12.9
3.90	6.2600	12.9	13.2
3.95	6.3540	12.8	13.0
4.00	6.4550	13.1	13.3
4.05	6.5650	12.5	12.7
4.10	6.6770	12.4	12.6
4.15	6.7890	12.7	12.9
4.20	6.9050	12.6	12.8
4.25	7.0210	13.3	13.6
4.30	7.1380	12.9	13.2
4.35	7.2540	13.4	13.6
4.40	7.3700	13.6	13.8
4.45	7.4860	14.1	14.4
4.50	7.6010	13.8	14.1
4.55	7.7140	13.9	14.2
4.60	7.8230	14.2	14.4
4.65	7.9320	13.8	14.1
4.70	8.0350	13.9	14.2
4.75	8.1330	13.6	13.9
4.80	8.2110	13.6	13.8
4.85	8.2740	14.7	15.0
4.90	8.3290	15.2	15.6
4.95	8.3570	15.0	15.3
5.00	8.4020	14.8	15.1
5.05	8.4530	14.5	14.8
5.10	8.5250	14.7	15.0
5.15	8.6020	14.8	15.1
5.20	8.7570	14.6	14.9
5.25	8.9180	14.2	14.5
5.30	9.0230	14.1	14.4
5.35	9.1020	14.5	14.8
5.40	9.1850	14.6	14.9
5.45	9.2540	15.0	15.3
5.50	9.3130	15.3	15.6
5.55	9.3820	15.0	15.3
5.60	9.4610	15.5	15.8
5.65	9.5640	15.7	16.0
5.70	9.6930	14.7	15.0
5.75	9.8320	14.7	15.0
5.80	9.9690	14.7	14.9
5.85	10.0990	14.8	15.1
5.90	10.2140	14.7	14.9
5.95	10.2910	15.4	15.7
6.00	10.3540	15.4	15.7
6.05	10.3960	14.2	14.5
6.10	10.4740	15.6	15.9
6.15	10.5600	14.6	14.8
6.20	10.6220	14.3	14.6
6.25	10.7110	14.4	14.7
6.30	10.8410	14.6	14.9
6.35	10.9830	14.3	14.6
6.40	11.1170	13.6	13.9
6.45	11.2200	13.9	14.1
6.50	11.2900	14.4	14.7
6.55	11.3520	14.3	14.6
6.60	11.4410	13.5	13.7
6.65	11.5830	13.1	13.3
6.70	11.6900	13.5	13.8
6.75	11.8550	12.8	13.1
6.80	12.1000	12.0	12.3
6.85	12.3830	11.5	11.7
6.90	12.5750	10.1	10.3
6.95	12.6560	10.2	10.3
7.00	12.7220	10.1	10.2
7.05	12.7910	10.4	10.6
7.10	12.8920	10.3	10.4
7.15	13.0220	11.0	11.2
7.20	13.2200	10.4	10.6
7.25	13.4370	10.5	10.7
7.30	13.5740	10.8	11.0
7.35	13.6290	9.9	10.0
7.40	13.7010	10.2	10.4
7.45	13.7490	9.7	9.9
7.50	13.7950	9.6	9.8
7.55	13.8530	9.8	10.0
7.60	13.9140	9.9	10.1
7.65	13.9720	10.1	10.3
7.70	14.0290	11.0	11.2
7.75	14.0770	11.0	11.2
7.80	14.1450	11.3	11.5
7.85	14.2430	11.7	11.9
7.90	14.3120	11.3	11.5
7.95	14.3760	10.4	10.6
8.00	14.4650	10.6	10.8
8.05	14.5440	10.7	10.9
8.10	14.6220	10.2	10.4
8.15	14.8450	9.8	9.9
8.20	15.0730	9.7	9.9
8.25	15.2940	9.6	9.8
8.30	15.4980	9.5	9.7
8.35	15.6120	10.1	10.3
8.40	15.6790	9.4	9.5
8.45	15.7480	9.6	9.7
8.50	15.8440	9.4	9.5
8.55	15.9920	8.9	9.0
8.60	16.1290	9.0	9.1
8.65	16.3080	7.8	7.9
8.70	16.4600	7.7	7.8
8.75	16.5500	8.1	8.2
8.80	16.6310	7.6	7.7
8.85	16.7150	8.4	8.5
8.90	16.7830	8.1	8.2
8.95	16.8470	7.8	7.9
9.00	16.9390	8.2	8.3
9.05	17.0310	7.8	7.9
9.10	17.0990	7.8	7.9
9.15	17.2080	7.9	8.0
9.20	17.3140	9.1	9.2
9.25	17.4370	8.8	8.9
9.30	17.5130	9.2	9.4
9.35	17.5790	8.9	9.1
9.40	17.6690	8.3	8.4
9.45	17.7210	8.6	8.7
9.50	17.7550	7.9	8.0
9.55	17.7970	8.3	8.4
9.60	17.8390	7.7	7.8
9.65	17.8810	7.7	7.8
9.70	17.9200	8.4	8.5
9.75	17.9590	9.4	9.5
9.80	17.9920	10.1	10.3
9.85	18.0160	8.4	8.5
9.90	18.0580	8.6	8.7
9.95	18.0790	8.8	8.9
10.00	18.0900	8.3	8.4
10.25	18.1680	8.0	8.1
10.40	18.1898	8.2	8.3
10.50	18.2400	7.8	7.9
10.75	18.3240	7.4	7.4
11.00	18.4600	6.8	6.8
11.25	18.5200	7.1	7.2
11.50	18.6140	6.7	6.7
11.75	18.7050	9.3	9.4
12.00	18.7700	9.1	9.2
12.10	18.7980	8.5	8.6
12.25	18.8410	7.0	7.1
12.50	18.9160	6.8	6.9
12.75	18.9930	7.2	7.3
13.00	19.0720	7.9	8.0
13.25	19.1530	7.3	7.4
13.40	19.2030	9.0	9.1
13.50	19.2350	9.4	9.5
13.75	19.3170	9.8	10.0
14.00	19.3980	8.4	8.5
14.25	19.4800	10.0	10.1
14.50	19.5620	9.6	9.7
14.75	19.6440	7.9	8.0
15.00	19.7250	10.0	10.2
15.10	19.7580	9.4	9.6
15.25	19.8070	9.1	9.2
15.50	19.8880	7.7	7.8
15.75	19.9680	6.7	6.7
16.00	20.0470	7.5	7.6
16.25	20.1260	9.4	9.6
16.40	20.1720	8.2	8.3
16.55	20.2180	8.2	8.3
16.75	20.2770	9.7	9.9
17.00	20.3500	8.4	8.5
17.25	20.4690	7.7	7.8
17.50	20.6470	8.2	8.3
17.75	20.8520	7.1	7.2
18.00	21.0710	8.0	8.1
18.25	21.2880	8.2	8.3
18.50	21.4920	8.8	8.9
18.74	21.6740	8.1	8.2
